Tension,Laine,Usure
T.Faible,Laine.A,13.370958447146668
T.Faible,Laine.A,11.435301828603912
T.Faible,Laine.A,12.363128411337339
T.Faible,Laine.A,12.63286260496104
T.Faible,Laine.A,12.404268323140998
T.Faible,Laine.A,11.893875483908516
T.Faible,Laine.A,13.511521997438939
T.Faible,Laine.A,11.905340961586903
T.Faible,Laine.A,14.018423713877041
T.Faible,Laine.B,8.937285900947579
T.Faible,Laine.B,10.304869654223484
T.Faible,Laine.B,11.286645392701107
T.Faible,Laine.B,7.611139298887661
T.Faible,Laine.B,8.721211233182629
T.Faible,Laine.B,8.866678663606342
T.Faible,Laine.B,9.635950398070074
T.Faible,Laine.B,8.715747078583927
T.Faible,Laine.B,6.343544579095225
T.Moyenne,Laine.A,4.559533071424481
T.Moyenne,Laine.A,8.320113345730192
T.Moyenne,Laine.A,6.693361405921525
T.Moyenne,Laine.A,5.21869156602
T.Moyenne,Laine.A,6.828082644240379
T.Moyenne,Laine.A,8.2146746991726
T.Moyenne,Laine.A,8.895193461264965
T.Moyenne,Laine.A,6.569530868393801
T.Moyenne,Laine.A,6.742730617231071
T.Moyenne,Laine.B,8.23683691480522
T.Moyenne,Laine.B,10.460097354831271
T.Moyenne,Laine.B,9.360005124039882
T.Moyenne,Laine.B,10.455450123241219
T.Moyenne,Laine.B,10.704837337228819
T.Moyenne,Laine.B,11.035103521969923
T.Moyenne,Laine.B,9.391073624592789
T.Moyenne,Laine.B,10.50495512329797
T.Moyenne,Laine.B,8.282991320926657
T.Élevée,Laine.A,7.715540991620504
T.Élevée,Laine.A,7.649092405823482
T.Élevée,Laine.A,6.085792350053368
T.Élevée,Laine.A,8.536122606892256
T.Élevée,Laine.A,8.705998600200253
T.Élevée,Laine.A,8.138942701451334
T.Élevée,Laine.A,9.258163235699516
T.Élevée,Laine.A,7.773295172923425
T.Élevée,Laine.A,7.1317189555807055
T.Élevée,Laine.B,7.432818025888717
T.Élevée,Laine.B,6.188606823813329
T.Élevée,Laine.B,8.444101261721253
T.Élevée,Laine.B,6.568553797386654
T.Élevée,Laine.B,7.655647883402207
T.Élevée,Laine.B,7.321925265203946
T.Élevée,Laine.B,6.216161059119624
T.Élevée,Laine.B,8.575727519791977
T.Élevée,Laine.B,7.642899305717316
